age,sex,year,value
62,female,2005,1.8825491132033548e-5
62,female,2006,1.847041476352508e-5
62,female,2007,1.814148487252689e-5
62,female,2008,1.783841732016215e-5
62,female,2009,1.755775822029321e-5
62,female,2010,1.7296474810949725e-5
62,female,2011,1.7051072620662904e-5
62,female,2012,1.6817301059748083e-5
62,female,2013,1.6590809330176945e-5
62,male,1970,6.236125308689513e-5
62,male,1971,6.117622802968538e-5
62,male,1972,5.999120297247564e-5
62,male,1973,5.88061779152659e-5
62,male,1974,5.762115285805615e-5
62,male,1975,5.643612780084641e-5
62,male,1976,5.525110274363667e-5
62,male,1977,5.406607768642692e-5
62,male,1978,5.288105262921718e-5
62,male,1979,5.169602757200743e-5
62,male,1980,5.051100251479769e-5
62,male,1981,4.957833466448651e-5
62,male,1982,4.8645666814175334e-5
62,male,1983,4.771299896386416e-5
62,male,1984,4.678033111355298e-5
62,male,1985,4.58476632632418e-5
62,male,1986,4.491499541293062e-5
62,male,1987,4.3982327562619444e-5
62,male,1988,4.304965971230827e-5
62,male,1989,4.211699186199709e-5
62,male,1990,4.1184324011685914e-5
62,male,1991,4.049360727081082e-5
62,male,1992,3.980289052993573e-5
62,male,1993,3.911217378906064e-5
62,male,1994,3.842145704818554e-5
62,male,1995,3.7730740307310455e-5
62,male,1996,3.704002356643536e-5
62,male,1997,3.6349306825560266e-5
62,male,1998,3.565859008468517e-5
62,male,1999,3.4967873343810084e-5
62,male,2000,3.427715660293499e-5
62,male,2001,3.195662074108948e-5
62,male,2002,3.109496839416563e-5
62,male,2003,3.0291344018508865e-5
62,male,2004,2.9570843937548774e-5
62,male,2005,2.895186210313694e-5
62,male,2006,2.844008600631661e-5
62,male,2007,2.8030333840040198e-5
62,male,2008,2.770843119040732e-5
62,male,2009,2.745363597737715e-5
62,male,2010,2.7244471243583264e-5
62,male,2011,2.7063596984712825e-5
62,male,2012,2.689868641876193e-5
62,male,2013,2.6741642552318655e-5
63,female,1970,3.161233100717851e-5
63,female,1971,3.107554617575475e-5
63,female,1972,3.0538761344330995e-5
63,female,1973,3.000197651290724e-5
63,female,1974,2.9465191681483487e-5
63,female,1975,2.892840685005973e-5
63,female,1976,2.8391622018635973e-5
63,female,1977,2.785483718721222e-5
63,female,1978,2.7318052355788462e-5
63,female,1979,2.6781267524364708e-5
63,female,1980,2.624448269294095e-5
63,female,1981,2.6233426030363183e-5
63,female,1982,2.6222369367785416e-5
63,female,1983,2.621131270520765e-5
63,female,1984,2.620025604262988e-5
63,female,1985,2.618919938005211e-5
63,female,1986,2.6178142717474343e-5
63,female,1987,2.6167086054896575e-5
63,female,1988,2.6156029392318808e-5
63,female,1989,2.614497272974104e-5
63,female,1990,2.6133916067163273e-5
63,female,1991,2.5773388846624013e-5
63,female,1992,2.5412861626084754e-5
63,female,1993,2.5052334405545494e-5
63,female,1994,2.4691807185006235e-5
63,female,1995,2.4331279964466975e-5
63,female,1996,2.397075274392772e-5
63,female,1997,2.361022552338846e-5
63,female,1998,2.32496983028492e-5
63,female,1999,2.288917108230994e-5
63,female,2000,2.252864386177068e-5
63,female,2001,2.2418408891969235e-5
63,female,2002,2.1977492016503237e-5
63,female,2003,2.1534023439644744e-5
63,female,2004,2.1097561758673583e-5
63,female,2005,2.067752836132692e-5
63,female,2006,2.02817372775967e-5
63,female,2007,1.9914603117767452e-5
63,female,2008,1.957611697523423e-5
63,female,2009,1.9262630902745844e-5
63,female,2010,1.8970852200504476e-5
63,female,2011,1.8696863581331477e-5
63,female,2012,1.8435885473727126e-5
63,female,2013,1.8183071018577133e-5
63,male,1970,6.802498117098494e-5
63,male,1971,6.68235349094364e-5
63,male,1972,6.562208864788785e-5
63,male,1973,6.442064238633931e-5
63,male,1974,6.321919612479077e-5
63,male,1975,6.201774986324223e-5
63,male,1976,6.081630360169369e-5
63,male,1977,5.961485734014514e-5
63,male,1978,5.84134110785966e-5
63,male,1979,5.7211964817048064e-5
63,male,1980,5.601051855549952e-5
63,male,1981,5.4950686030380474e-5
63,male,1982,5.3890853505261435e-5
63,male,1983,5.28310209801424e-5
63,male,1984,5.177118845502335e-5
63,male,1985,5.071135592990431e-5
63,male,1986,4.965152340478527e-5
63,male,1987,4.859169087966623e-5
63,male,1988,4.7531858354547185e-5
63,male,1989,4.647202582942814e-5
63,male,1990,4.54121933043091e-5
63,male,1991,4.461591888133755e-5
63,male,1992,4.381964445836599e-5
63,male,1993,4.3023370035394434e-5
63,male,1994,4.2227095612422873e-5
63,male,1995,4.143082118945132e-5
63,male,1996,4.0634546766479766e-5
63,male,1997,3.9838272343508206e-5
63,male,1998,3.904199792053665e-5
63,male,1999,3.824572349756509e-5
