age,sex,year,value
85,male,1978,0.0004705615801372765
85,male,1979,0.00046228319905714557
85,male,1980,0.0004601446306610023
85,male,1981,0.0004571340257882417
85,male,1982,0.0004562605989167345
85,male,1983,0.000462056301992954
85,male,1984,0.0004569399068470854
85,male,1985,0.00045619591171277115
85,male,1986,0.00044441601434425126
85,male,1987,0.000431628586574537
85,male,1988,0.0004140233893312864
85,male,1989,0.0004012182938311127
85,male,1990,0.0003935891743948187
85,male,1991,0.000384720571893537
85,male,1992,0.0003766973394351248
85,male,1993,0.0003728984464449349
85,male,1994,0.0003684782769040978
85,male,1995,0.0003657232018178867
85,male,1996,0.0003586603444868302
85,male,1997,0.00035295462473637537
85,male,1998,0.00034900189531275887
85,male,1999,0.0003445890549345767
85,male,2000,0.0003421370996635149
85,male,2001,0.0003352275817681409
85,male,2002,0.00032805766352164424
85,male,2003,0.0003264840319771092
85,male,2004,0.00031595474831618676
85,male,2005,0.0003120243541442331
85,male,2006,0.0002960843898130362
85,male,2007,0.00029270031016782926
85,male,2008,0.00028673501275982085
85,male,2009,0.00028069167752380227
85,male,2010,0.0002791753461134177
85,male,2011,0.00027151555821228505
85,male,2012,0.0002667126420830139
85,male,2013,0.0002615566276196359
85,male,2014,0.00025788399346090516
85,male,2015,0.00025238426284484016
85,male,2016,0.000247794591587034
85,male,2017,0.0002447690189891445
85,male,2018,0.00023848890708841146
85,male,2019,0.00023457859673306478
86,female,1977,0.0003842164614648374
86,female,1978,0.0003796836395396477
86,female,1979,0.000370452364413903
86,female,1980,0.0003680084657851389
86,female,1981,0.0003663178129519239
86,female,1982,0.00036181450261071733
86,female,1983,0.00036447181084988057
86,female,1984,0.0003564140521243481
86,female,1985,0.00035585276687561085
86,female,1986,0.00034611099207279214
86,female,1987,0.0003317638976196334
86,female,1988,0.0003161083939023613
86,female,1989,0.00030479244839507684
86,female,1990,0.0003020701145150327
86,female,1991,0.0002969997243904266
86,female,1992,0.0002873127128288567
86,female,1993,0.00028375723086882296
86,female,1994,0.0002756909675602617
86,female,1995,0.0002730579025876342
86,female,1996,0.00026538502024683473
86,female,1997,0.0002625207576136378
86,female,1998,0.00025863618120808155
86,female,1999,0.0002561998424168062
86,female,2000,0.0002532851012865656
86,female,2001,0.000248064359376191
86,female,2002,0.00024267404738854685
86,female,2003,0.0002424347240998968
86,female,2004,0.00023404173831915429
86,female,2005,0.00022841107144358822
86,female,2006,0.00021490306826398026
86,female,2007,0.0002110558479861312
86,female,2008,0.00020414444524821917
